FishnetID,NAME
1618,Fengxian
1619,Songjiang
1620,Shanghai Proper
1621,Baoshan
1622,Qingpu
1623,Fengxian
1624,Pudong New
1625,Qingpu
1626,Shanghai Proper
1627,Chongming
1628,Fengxian
1629,Chongming
1630,Jinshan
1631,Jiading
1632,Chongming
1633,Jinshan
1634,Shanghai Proper
1635,Chongming
1636,Songjiang
1637,Baoshan
1638,Minhang
1639,Pudong New
1640,Jiading
1641,Chongming
1642,Qingpu
1643,Minhang
1644,Jinshan
1645,Pudong New
1646,Minhang
1647,Chongming
1648,Baoshan
1649,Pudong New
1650,Pudong New
1651,Jinshan
1652,Jinshan
1653,Chongming
1654,Qingpu
1655,Jinshan
1656,Chongming
1657,Songjiang
1658,Jiading
1659,Jinshan
1660,Songjiang
1661,Baoshan
1662,Jinshan
1663,Chongming
1664,Pudong New
1665,Fengxian
1666,Songjiang
1667,Jiading
1668,Songjiang
1669,Minhang
1670,Shanghai Proper
1671,Qingpu
1672,Qingpu
1673,Jinshan
1674,Pudong New
1675,Qingpu
1676,Jiading
1677,Songjiang
1678,Minhang
1679,Pudong New
1680,Pudong New
1681,Qingpu
1682,Jiading
1683,Songjiang
1684,Minhang
1685,Chongming
1686,Qingpu
1687,Minhang
1688,Chongming
1689,Fengxian
1690,Fengxian
1691,Pudong New
1692,Qingpu
1693,Shanghai Proper
1694,Pudong New
1695,Chongming
1696,Pudong New
1697,Qingpu
1698,Fengxian
1699,Jinshan
1700,Jiading
1701,Jiading
1702,Minhang
1703,Fengxian
1704,Songjiang
1705,Qingpu
1706,Jiading
1707,Jinshan
